91.243.81.177:443#CF优选IP 74ms
66.248.194.72:443#CF优选IP 101ms
144.34.86.26:443#CF优选IP 104ms
66.248.196.63:443#CF优选IP 105ms
162.33.20.185:443#CF优选IP 108ms
109.61.18.148:443#CF优选IP 109ms
45.135.228.226:443#CF优选IP 112ms
74.112.76.84:443#CF优选IP 114ms
74.112.76.221:443#CF优选IP 116ms
162.216.231.130:443#CF优选IP 133ms
74.112.77.61:443#CF优选IP 134ms
5.188.189.69:443#CF优选IP 176ms
85.234.87.37:443#CF优选IP 177ms
87.120.167.37:443#CF优选IP 178ms
5.188.189.25:443#CF优选IP 180ms
95.85.69.62:443#CF优选IP 183ms
79.133.126.18:443#CF优选IP 188ms
81.28.12.254:443#CF优选IP 190ms
45.82.160.111:443#CF优选IP 192ms
5.188.189.251:443#CF优选IP 192ms
87.120.167.33:443#CF优选IP 193ms
199.115.73.237:443#CF优选IP 196ms
5.188.189.242:443#CF优选IP 199ms
5.188.189.58:443#CF优选IP 204ms
5.189.220.185:443#CF优选IP 204ms
199.115.72.158:443#CF优选IP 205ms
162.120.3.22:443#CF优选IP 209ms
185.109.31.6:443#CF优选IP 209ms
5.188.189.252:443#CF优选IP 223ms
93.114.56.171:443#CF优选IP 228ms
83.229.15.250:443#CF优选IP 229ms
199.115.73.217:443#CF优选IP 231ms
192.135.116.77:443#CF优选IP 232ms
66.248.196.161:443#CF优选IP 233ms
188.208.32.148:443#CF优选IP 237ms
37.9.34.242:443#CF优选IP 238ms
91.199.82.15:443#CF优选IP 241ms
80.93.221.61:443#CF优选IP 246ms
37.9.34.233:443#CF优选IP 248ms
92.223.88.102:443#CF优选IP 252ms
192.135.116.131:443#CF优选IP 252ms
66.248.194.226:443#CF优选IP 253ms
216.201.79.50:443#CF优选IP 254ms
66.248.194.9:443#CF优选IP 257ms
66.248.196.236:443#CF优选IP 258ms
162.33.20.205:443#CF优选IP 261ms
216.201.73.62:443#CF优选IP 266ms
216.201.73.52:443#CF优选IP 266ms
216.201.79.161:443#CF优选IP 282ms
92.223.107.44:443#CF优选IP 285ms
192.135.118.27:443#CF优选IP 286ms
92.223.66.27:443#CF优选IP 290ms
216.201.72.127:443#CF优选IP 298ms
109.61.42.126:443#CF优选IP 304ms
92.223.107.51:443#CF优选IP 331ms
217.195.201.9:443#CF优选IP 331ms
91.243.81.44:443#CF优选IP 332ms
92.223.12.25:443#CF优选IP 340ms
92.38.150.136:443#CF优选IP 340ms
91.243.81.125:443#CF优选IP 342ms
202.78.166.186:443#CF优选IP 342ms
95.85.74.62:443#CF优选IP 348ms
216.201.79.29:443#CF优选IP 352ms
192.135.118.246:443#CF优选IP 357ms
85.234.83.137:443#CF优选IP 357ms
31.223.184.57:443#CF优选IP 360ms
5.188.71.117:443#CF优选IP 363ms
92.223.58.132:443#CF优选IP 365ms
31.223.184.156:443#CF优选IP 366ms
194.99.80.133:443#CF优选IP 371ms
92.223.86.68:443#CF优选IP 377ms
194.99.80.134:443#CF优选IP 430ms
5.181.78.55:443#CF优选IP 438ms
74.112.76.162:8443#CF优选IP 124ms
162.120.2.212:8443#CF优选IP 208ms
162.33.20.156:8443#CF优选IP 229ms
216.201.78.136:8443#CF优选IP 246ms
66.248.194.217:8443#CF优选IP 248ms
66.248.196.222:8443#CF优选IP 261ms
192.135.116.228:8443#CF优选IP 262ms
162.33.20.8:8443#CF优选IP 274ms
