103.21.244.109:2053#CF优选IP 363ms
103.21.244.112:2053#CF优选IP 395ms
103.21.244.114:2096#CF优选IP 395ms
103.21.244.118:2087#CF优选IP 407ms
103.21.244.130:2087#CF优选IP 376ms
103.21.244.131:2083#CF优选IP 392ms
103.21.244.133:2083#CF优选IP 396ms
103.21.244.134:2083#CF优选IP 388ms
103.21.244.136:2096#CF优选IP 364ms
103.21.244.140:8443#CF优选IP 398ms
103.21.244.142:2096#CF优选IP 454ms
103.21.244.145:2087#CF优选IP 397ms
103.21.244.148:2083#CF优选IP 370ms
103.21.244.150:2053#CF优选IP 394ms
103.21.244.155:8443#CF优选IP 395ms
103.21.244.159:8443#CF优选IP 379ms
103.21.244.160:2083#CF优选IP 399ms
103.21.244.161:2053#CF优选IP 408ms
103.21.244.170:2087#CF优选IP 397ms
103.21.244.173:8443#CF优选IP 396ms
103.21.244.179:2083#CF优选IP 391ms
103.21.244.18:8443#CF优选IP 376ms
103.21.244.182:2096#CF优选IP 378ms
103.21.244.184:2087#CF优选IP 409ms
103.21.244.185:8443#CF优选IP 391ms
103.21.244.19:2087#CF优选IP 396ms
103.21.244.197:2087#CF优选IP 364ms
103.21.244.204:2053#CF优选IP 381ms
103.21.244.205:8443#CF优选IP 365ms
103.21.244.206:2087#CF优选IP 377ms
103.21.244.212:2096#CF优选IP 380ms
103.21.244.213:2053#CF优选IP 386ms
103.21.244.216:2083#CF优选IP 386ms
103.21.244.22:2083#CF优选IP 380ms
103.21.244.220:8443#CF优选IP 404ms
103.21.244.224:8443#CF优选IP 394ms
103.21.244.226:8443#CF优选IP 374ms
103.21.244.229:2087#CF优选IP 381ms
103.21.244.23:2087#CF优选IP 380ms
103.21.244.234:2096#CF优选IP 386ms
103.21.244.24:2087#CF优选IP 373ms
103.21.244.241:2096#CF优选IP 393ms
103.21.244.243:2096#CF优选IP 379ms
103.21.244.245:8443#CF优选IP 392ms
103.21.244.246:2087#CF优选IP 368ms
103.21.244.249:8443#CF优选IP 383ms
103.21.244.251:2096#CF优选IP 371ms
103.21.244.253:8443#CF优选IP 389ms
103.21.244.26:2096#CF优选IP 380ms
103.21.244.29:2053#CF优选IP 388ms
103.21.244.3:2083#CF优选IP 399ms
103.21.244.30:2096#CF优选IP 386ms
103.21.244.31:2096#CF优选IP 385ms
103.21.244.34:2087#CF优选IP 391ms
103.21.244.37:2083#CF优选IP 390ms
103.21.244.38:2053#CF优选IP 399ms
103.21.244.39:2087#CF优选IP 390ms
103.21.244.41:2096#CF优选IP 384ms
103.21.244.42:2087#CF优选IP 408ms
103.21.244.43:2083#CF优选IP 376ms
103.21.244.47:2096#CF优选IP 400ms
103.21.244.48:2096#CF优选IP 383ms
103.21.244.49:8443#CF优选IP 386ms
103.21.244.5:2083#CF优选IP 375ms
103.21.244.53:2053#CF优选IP 384ms
103.21.244.55:2053#CF优选IP 374ms
103.21.244.61:2053#CF优选IP 371ms
103.21.244.62:8443#CF优选IP 372ms
103.21.244.64:2096#CF优选IP 384ms
103.21.244.70:2096#CF优选IP 397ms
103.21.244.73:2083#CF优选IP 368ms
103.21.244.75:8443#CF优选IP 394ms
103.21.244.83:2083#CF优选IP 385ms
103.21.244.89:8443#CF优选IP 382ms
103.21.244.93:2083#CF优选IP 383ms
103.21.244.94:2053#CF优选IP 389ms
103.21.244.96:2053#CF优选IP 201ms
103.21.244.97:8443#CF优选IP 388ms
103.21.244.98:2096#CF优选IP 386ms
103.21.244.99:2053#CF优选IP 395ms
104.16.13.183:2053#CF优选IP 447ms
104.16.133.42:2096#CF优选IP 199ms
104.16.137.71:443#US 官方优选 227ms
104.16.146.221:8443#CF优选IP 408ms
104.16.149.35:8443#CF优选IP 432ms
104.16.149.199:2096#CF优选IP 379ms
104.16.158.216:8443#CF优选IP 424ms
104.16.16.71:2087#CF优选IP 448ms
104.16.16.206:2087#CF优选IP 409ms
104.16.163.167:2096#CF优选IP 448ms
104.16.168.91:2053#CF优选IP 457ms
104.16.177.71:2096#CF优选IP 456ms
104.16.178.245:2087#CF优选IP 417ms
