104.19.181.51:2096#CF优选IP 13ms
104.16.232.217:443#CF优选IP 101ms
104.17.174.22:2053#CF优选IP 101ms
104.16.127.226:2083#CF优选IP 102ms
104.16.19.15:2083#CF优选IP 102ms
104.16.175.192:2087#CF优选IP 102ms
104.19.213.119:443#CF优选IP 105ms
104.16.205.58:443#CF优选IP 107ms
104.17.215.107:2053#CF优选IP 107ms
104.18.222.240:443#CF优选IP 113ms
104.19.222.16:2096#CF优选IP 113ms
104.17.250.70:443#CF优选IP 114ms
104.18.230.104:2083#CF优选IP 114ms
104.16.130.48:2083#CF优选IP 115ms
104.18.243.117:2087#CF优选IP 116ms
104.16.128.161:2083#CF优选IP 120ms
104.19.183.136:2096#CF优选IP 120ms
104.16.81.108:2096#CF优选IP 122ms
104.16.127.229:2083#CF优选IP 124ms
104.17.85.91:2053#CF优选IP 126ms
104.16.90.24:443#CF优选IP 127ms
104.16.184.74:2096#CF优选IP 129ms
104.16.104.98:2083#CF优选IP 132ms
104.17.214.121:443#CF优选IP 133ms
104.16.138.237:2053#CF优选IP 133ms
104.19.233.13:443#CF优选IP 135ms
104.17.11.247:2087#CF优选IP 135ms
172.67.65.26:2087#CF优选IP 136ms
172.67.78.144:2096#CF优选IP 136ms
172.67.73.114:2096#CF优选IP 137ms
104.26.2.69:443#CF优选IP 140ms
104.16.199.154:2053#CF优选IP 140ms
104.18.86.76:2053#CF优选IP 140ms
104.20.18.163:2083#CF优选IP 140ms
104.26.4.5:2087#CF优选IP 141ms
104.26.10.212:2087#CF优选IP 141ms
104.18.64.127:2087#CF优选IP 141ms
104.20.29.168:443#CF优选IP 142ms
104.26.3.37:443#CF优选IP 142ms
104.26.11.69:2053#CF优选IP 142ms
104.26.7.126:2083#CF优选IP 142ms
104.18.88.48:2083#CF优选IP 142ms
104.16.142.58:2083#CF优选IP 142ms
104.26.3.215:443#CF优选IP 144ms
104.26.7.149:2083#CF优选IP 144ms
104.19.212.102:2096#CF优选IP 144ms
172.67.75.74:2096#CF优选IP 144ms
104.26.11.183:443#CF优选IP 146ms
172.67.64.235:2053#CF优选IP 147ms
172.67.77.90:2053#CF优选IP 147ms
104.20.29.31:443#CF优选IP 149ms
104.17.55.207:2087#CF优选IP 149ms
104.20.26.92:2087#CF优选IP 149ms
104.17.176.191:2083#CF优选IP 150ms
104.26.3.121:2087#CF优选IP 150ms
104.26.8.209:443#CF优选IP 151ms
104.26.12.78:2087#CF优选IP 151ms
104.26.8.94:2083#CF优选IP 151ms
104.16.85.136:443#CF优选IP 152ms
104.18.223.221:2087#CF优选IP 153ms
104.19.180.70:2083#CF优选IP 153ms
172.67.69.196:2083#CF优选IP 154ms
104.18.186.214:443#CF优选IP 155ms
104.16.89.82:2096#CF优选IP 156ms
104.16.239.209:2087#CF优选IP 157ms
104.18.8:2087#CF优选IP 157ms
104.19.235.202:2083#CF优选IP 157ms
104.17.103.1:443#CF优选IP 158ms
104.18.77.131:2053#CF优选IP 159ms
104.17.140.161:2096#CF优选IP 159ms
104.17.164.192:443#CF优选IP 162ms
104.19.160.132:2053#CF优选IP 163ms
104.17.153.238:2096#CF优選IP 164ms
104.18.194.112:2053#CF优选IP 165ms
104.17.28.188:2087#CF优选IP 165ms
104.16.161.245:2087#CF优选IP 165ms
104.17.25.110:2096#CF优选IP 165ms
104.19.245.127:2053#CF优选IP 166ms
104.16.49.200:2096#CF优选IP 166ms
104.16.228.227:2083#CF优选IP 168ms
104.18.112.31:2087#CF优选IP 168ms
104.18.207.87:2096#CF优选IP 168ms
104.16.111.164:2096#CF优选IP 169ms
104.17.202.68:2087#CF优选IP 169ms
104.17.21.103:443#CF优选IP 170ms
104.17.39.145:2083#CF优选IP 170ms
