139.144.77.97:443#DE 13ms
141.147.185.15:443#JP 26ms
89.110.80.120:443#NL 42ms
139.162.185.191:443#DE 44ms
139.162.167.244:443#DE 51ms
94.177.8.31:443#AT 60ms
139.177.179.100:443#DE 63ms
38.180.105.164:443#TR 64ms
94.177.8.48:443#AT 65ms
193.123.81.105:443#AE 68ms
217.60.39.80:443#AE 68ms
94.177.8.51:443#AT 69ms
93.93.119.91:443#ES 73ms
94.177.8.2:443#AT 75ms
38.180.10.162:443#EE 75ms
94.177.8.4:443#AT 76ms
154.31.113.72:443#JP 78ms
146.0.73.211:443#NL 78ms
89.110.84.203:443#NL 84ms
188.166.46.120:443#NL 84ms
147.45.73.218:443#SE 85ms
5.101.104.222:443#NL 88ms
143.42.59.97:443#DE 90ms
185.82.218.224:443#BG 90ms
185.114.72.148:443#ES 94ms
217.144.189.124:443#NL 95ms
43.218.77.16:443#ID 95ms
185.246.155.198:443#NL 99ms
172.104.128.242:443#DE 100ms
185.44.67.58:443#GB 103ms
18.183.158.211:443#JP 104ms
139.144.178.77:443#DE 104ms
146.190.236.144:443#NL 105ms
45.14.247.108:443#DE 105ms
31.59.114.237:443#NL 110ms
156.154.245.83:443#US 110ms
45.86.229.28:443#ES 110ms
139.144.180.94:443#DE 110ms
46.183.186.57:443#HU 111ms
146.185.166.46:443#NL 112ms
82.196.2.131:443#NL 112ms
94.158.219.198:443#LV 114ms
82.196.5.168:443#NL 114ms
192.243.127.224:443#JP 115ms
95.164.113.130:443#FI 115ms
188.166.162.201:443#DE 116ms
188.166.166.12:443#DE 116ms
188.253.18.111:443#LV 118ms
104.248.80.252:443#NL 119ms
45.86.86.53:443#MD 120ms
139.144.77.124:443#DE 121ms
68.183.212.54:443#DE 123ms
185.243.112.197:443#NL 123ms
52.141.25.42:443#KR 123ms
85.159.228.11:443#LV 124ms
166.1.22.116:443#NL 127ms
172.104.246.131:443#DE 127ms
34.105.49.234:443#US 128ms
64.225.93.216:443#DE 129ms
94.177.8.19:443#AT 132ms
103.137.248.17:443#NL 133ms
172.104.233.198:443#DE 134ms
185.104.181.228:443#RO 137ms
89.208.104.144:443#NL 137ms
8.219.201.154:443#SG 143ms
35.197.23.75:443#US 143ms
178.128.175.72:443#GB 144ms
168.138.189.91:443#SG 148ms
188.226.138.28:443#NL 148ms
13.250.14.76:443#SG 148ms
47.236.29.162:443#SG 148ms
8.219.170.224:443#SG 149ms
188.226.190.108:443#NL 149ms
31.57.63.224:443#AE 150ms
168.138.184.172:443#SG 150ms
43.156.181.203:443#SG 150ms
74.48.89.211:443#US 152ms
103.231.73.153:443#LV 153ms
139.144.77.65:443#DE 154ms
67.207.73.198:443#DE 154ms
77.238.242.168:443#NL 156ms
45.76.198.248:443#JP 158ms
139.144.179.200:443#DE 159ms
139.177.179.59:443#DE 160ms
152.42.130.219:443#NL 160ms
94.131.12.56:443#CH 164ms
185.100.159.170:443#DE 167ms
94.131.120.222:443#DE 167ms
45.79.250.219:443#DE 167ms
216.173.70.80:443#LV 168ms
31.129.49.103:443#RU 172ms
178.208.76.84:443#NL 173ms
139.162.83.77:443#JP 176ms
139.144.179.231:443#DE 178ms
194.87.77.179:443#DE 181ms
176.97.67.38:443#AE 182ms
94.177.8.60:443#AT 184ms
47.79.38.17:443#JP 184ms
94.177.8.10:443#AT 185ms
94.177.8.50:443#AT 186ms
89.248.207.37:443#RU 188ms
178.32.58.147:443#GB 189ms
45.91.201.59:443#NL 190ms
109.248.161.62:443#IN 191ms
31.129.48.139:443#RU 191ms
217.160.216.30:443#DE 192ms
139.144.78.23:443#DE 193ms
85.192.60.188:443#NL 194ms
94.177.8.26:443#AT 194ms
94.177.8.5:443#AT 194ms
18.170.77.148:443#GB 194ms
104.248.79.57:443#US 197ms
168.138.46.67:443#JP 197ms
94.177.8.8:443#AT 197ms
94.177.8.11:443#AT 198ms
5.45.67.208:443#NL 200ms
95.216.190.1:443#FI 200ms
141.147.147.180:443#JP 200ms
195.135.252.139:443#LV 201ms
217.73.63.121:443#RU 201ms
91.215.153.85:443#BG 201ms
217.142.236.93:443#JP 202ms
